"gender","year","municipalities","value"
"Sex - TOTAL","2000","Sveti Andraž v Slov. goricah",38
"Sex - TOTAL","2000","Sveti Jurij ob Ščavnici",205
"Sex - TOTAL","2000","Sveti Jurij v Slov. goricah",NA
"Sex - TOTAL","2000","Sveti Tomaž",NA
"Sex - TOTAL","2000","Šalovci",74
"Sex - TOTAL","2000","Šempeter - Vrtojba",4697
"Sex - TOTAL","2000","Šenčur",1222
"Sex - TOTAL","2000","Šentilj",2813
"Sex - TOTAL","2000","Šentjernej",1245
"Sex - TOTAL","2000","Šentjur",4430
"Sex - TOTAL","2000","Šentrupert",NA
"Sex - TOTAL","2000","Škocjan",433
"Sex - TOTAL","2000","Škofja Loka",8609
"Sex - TOTAL","2000","Škofljica",1195
"Sex - TOTAL","2000","Šmarje pri Jelšah",1915
"Sex - TOTAL","2000","Šmarješke Toplice",NA
"Sex - TOTAL","2000","Šmartno ob Paki",268
"Sex - TOTAL","2000","Šmartno pri Litiji",NA
"Sex - TOTAL","2000","Šoštanj",2195
"Sex - TOTAL","2000","Štore",1438
"Sex - TOTAL","2000","Tabor",90
"Sex - TOTAL","2000","Tišina",344
"Sex - TOTAL","2000","Tolmin",4351
"Sex - TOTAL","2000","Trbovlje",6879
"Sex - TOTAL","2000","Trebnje",5435
"Sex - TOTAL","2000","Trnovska vas",36
"Sex - TOTAL","2000","Trzin",3066
"Sex - TOTAL","2000","Tržič",4069
"Sex - TOTAL","2000","Turnišče",881
"Sex - TOTAL","2000","Velenje",20205
"Sex - TOTAL","2000","Velika Polana",241
"Sex - TOTAL","2000","Velike Lašče",405
"Sex - TOTAL","2000","Veržej",239
"Sex - TOTAL","2000","Videm",357
"Sex - TOTAL","2000","Vipava",1113
"Sex - TOTAL","2000","Vitanje",359
"Sex - TOTAL","2000","Vodice",501
"Sex - TOTAL","2000","Vojnik",1101
"Sex - TOTAL","2000","Vransko",466
"Sex - TOTAL","2000","Vrhnika",5410
"Sex - TOTAL","2000","Vuzenica",700
"Sex - TOTAL","2000","Zagorje ob Savi",4807
"Sex - TOTAL","2000","Zavrč",199
"Sex - TOTAL","2000","Zreče",3798
"Sex - TOTAL","2000","Žalec",7543
"Sex - TOTAL","2000","Železniki",2485
"Sex - TOTAL","2000","Žetale",64
"Sex - TOTAL","2000","Žiri",1931
"Sex - TOTAL","2000","Žirovnica",548
"Sex - TOTAL","2000","Žužemberk",706
"Sex - TOTAL","2001","Ajdovščina",6805
"Sex - TOTAL","2001","Ankaran/Ancarano",NA
"Sex - TOTAL","2001","Apače",NA
"Sex - TOTAL","2001","Beltinci",1299
"Sex - TOTAL","2001","Benedikt",188
"Sex - TOTAL","2001","Bistrica ob Sotli",257
"Sex - TOTAL","2001","Bled",3764
"Sex - TOTAL","2001","Bloke",279
"Sex - TOTAL","2001","Bohinj",1248
"Sex - TOTAL","2001","Borovnica",485
"Sex - TOTAL","2001","Bovec",1021
"Sex - TOTAL","2001","Braslovče",584
"Sex - TOTAL","2001","Brda",533
"Sex - TOTAL","2001","Brezovica",1436
"Sex - TOTAL","2001","Brežice",6546
"Sex - TOTAL","2001","Cankova",256
"Sex - TOTAL","2001","Celje",28205
"Sex - TOTAL","2001","Cerklje na Gorenjskem",1966
"Sex - TOTAL","2001","Cerknica",3036
"Sex - TOTAL","2001","Cerkno",1883
"Sex - TOTAL","2001","Cerkvenjak",129
"Sex - TOTAL","2001","Cirkulane",NA
"Sex - TOTAL","2001","Črenšovci",571
"Sex - TOTAL","2001","Črna na Koroškem",671
"Sex - TOTAL","2001","Črnomelj",4960
"Sex - TOTAL","2001","Destrnik",197
"Sex - TOTAL","2001","Divača",1298
"Sex - TOTAL","2001","Dobje",108
"Sex - TOTAL","2001","Dobrepolje",781
"Sex - TOTAL","2001","Dobrna",416
"Sex - TOTAL","2001","Dobrova - Polhov Gradec",922
"Sex - TOTAL","2001","Dobrovnik/Dobronak",133
"Sex - TOTAL","2001","Dol pri Ljubljani",787
"Sex - TOTAL","2001","Dolenjske Toplice",588
"Sex - TOTAL","2001","Domžale",10999
"Sex - TOTAL","2001","Dornava",605
"Sex - TOTAL","2001","Dravograd",2525
"Sex - TOTAL","2001","Duplek",545
"Sex - TOTAL","2001","Gorenja vas - Poljane",977
"Sex - TOTAL","2001","Gorišnica",632
"Sex - TOTAL","2001","Gorje",NA
"Sex - TOTAL","2001","Gornja Radgona",4251
"Sex - TOTAL","2001","Gornji Grad",355
"Sex - TOTAL","2001","Gornji Petrovci",358
"Sex - TOTAL","2001","Grad",221
"Sex - TOTAL","2001","Grosuplje",4585
"Sex - TOTAL","2001","Hajdina",497
"Sex - TOTAL","2001","Hoče - Slivnica",2818
"Sex - TOTAL","2001","Hodoš/Hodos",65
"Sex - TOTAL","2001","Horjul",621
"Sex - TOTAL","2001","Hrastnik",3133
"Sex - TOTAL","2001","Hrpelje - Kozina",1199
"Sex - TOTAL","2001","Idrija",5234
"Sex - TOTAL","2001","Ig",1038
"Sex - TOTAL","2001","Ilirska Bistrica",3688
"Sex - TOTAL","2001","Ivančna Gorica",2513
"Sex - TOTAL","2001","Izola/Isola",5286
"Sex - TOTAL","2001","Jesenice",7884
"Sex - TOTAL","2001","Jezersko",127
"Sex - TOTAL","2001","Juršinci",124
"Sex - TOTAL","2001","Kamnik",8176
"Sex - TOTAL","2001","Kanal",1318
"Sex - TOTAL","2001","Kidričevo",3683
"Sex - TOTAL","2001","Kobarid",925
"Sex - TOTAL","2001","Kobilje",197
"Sex - TOTAL","2001","Kočevje",5765
"Sex - TOTAL","2001","Komen",688
"Sex - TOTAL","2001","Komenda",760
"Sex - TOTAL","2001","Koper/Capodistria",20444
"Sex - TOTAL","2001","Kostanjevica na Krki",NA
"Sex - TOTAL","2001","Kostel",114
"Sex - TOTAL","2001","Kozje",634
"Sex - TOTAL","2001","Kranj",25502
"Sex - TOTAL","2001","Kranjska Gora",1428
"Sex - TOTAL","2001","Križevci",723
"Sex - TOTAL","2001","Krško",9951
"Sex - TOTAL","2001","Kungota",613
"Sex - TOTAL","2001","Kuzma",96
"Sex - TOTAL","2001","Laško",3970
"Sex - TOTAL","2001","Lenart",4139
"Sex - TOTAL","2001","Lendava/Lendva",4371
"Sex - TOTAL","2001","Litija",4212
"Sex - TOTAL","2001","Ljubljana",176202
"Sex - TOTAL","2001","Ljubno",490
"Sex - TOTAL","2001","Ljutomer",4262
"Sex - TOTAL","2001","Log - Dragomer",NA
"Sex - TOTAL","2001","Logatec",3429
"Sex - TOTAL","2001","Loška dolina",1722
"Sex - TOTAL","2001","Loški Potok",241
"Sex - TOTAL","2001","Lovrenc na Pohorju",603
"Sex - TOTAL","2001","Luče",197
"Sex - TOTAL","2001","Lukovica",711
"Sex - TOTAL","2001","Majšperk",586
"Sex - TOTAL","2001","Makole",NA
"Sex - TOTAL","2001","Maribor",59262
"Sex - TOTAL","2001","Markovci",430
"Sex - TOTAL","2001","Medvode",3351
"Sex - TOTAL","2001","Mengeš",2554
"Sex - TOTAL","2001","Metlika",3426
"Sex - TOTAL","2001","Mežica",1422
"Sex - TOTAL","2001","Miklavž na Dravskem polju",902
"Sex - TOTAL","2001","Miren - Kostanjevica",1144
"Sex - TOTAL","2001","Mirna",NA
"Sex - TOTAL","2001","Mirna Peč",271
"Sex - TOTAL","2001","Mislinja",622
"Sex - TOTAL","2001","Mokronog - Trebelno",NA
"Sex - TOTAL","2001","Moravče",383
"Sex - TOTAL","2001","Moravske Toplice",1256
"Sex - TOTAL","2001","Mozirje",1538
"Sex - TOTAL","2001","Murska Sobota",15650
"Sex - TOTAL","2001","Muta",1150
"Sex - TOTAL","2001","Naklo",2529
"Sex - TOTAL","2001","Nazarje",2430
"Sex - TOTAL","2001","Nova Gorica",16972
"Sex - TOTAL","2001","Novo mesto",22307
"Sex - TOTAL","2001","Odranci",176
"Sex - TOTAL","2001","Oplotnica",470
"Sex - TOTAL","2001","Ormož",4149
"Sex - TOTAL","2001","Osilnica",94
"Sex - TOTAL","2001","Pesnica",1056
"Sex - TOTAL","2001","Piran/Pirano",6551
"Sex - TOTAL","2001","Pivka",1896
"Sex - TOTAL","2001","Podčetrtek",626
"Sex - TOTAL","2001","Podlehnik",318
"Sex - TOTAL","2001","Podvelka",358
"Sex - TOTAL","2001","Poljčane",NA
"Sex - TOTAL","2001","Polzela",1734
"Sex - TOTAL","2001","Postojna",7074
"Sex - TOTAL","2001","Prebold",1291
"Sex - TOTAL","2001","Preddvor",507
"Sex - TOTAL","2001","Prevalje",1741
"Sex - TOTAL","2001","Ptuj",11572
"Sex - TOTAL","2001","Puconci",514
"Sex - TOTAL","2001","Rače - Fram",941
"Sex - TOTAL","2001","Radeče",1215
"Sex - TOTAL","2001","Radenci",1469
"Sex - TOTAL","2001","Radlje ob Dravi",2375
"Sex - TOTAL","2001","Radovljica",6151
"Sex - TOTAL","2001","Ravne na Koroškem",5594
"Sex - TOTAL","2001","Razkrižje",95
"Sex - TOTAL","2001","Rečica ob Savinji",NA
"Sex - TOTAL","2001","Renče - Vogrsko",NA
"Sex - TOTAL","2001","Ribnica",2752
"Sex - TOTAL","2001","Ribnica na Pohorju",140
"Sex - TOTAL","2001","Rogaška Slatina",5034
"Sex - TOTAL","2001","Rogašovci",285
"Sex - TOTAL","2001","Rogatec",807
"Sex - TOTAL","2001","Ruše",2135
"Sex - TOTAL","2001","Selnica ob Dravi",1111
"Sex - TOTAL","2001","Semič",1537
"Sex - TOTAL","2001","Sevnica",5577
"Sex - TOTAL","2001","Sežana",5550
"Sex - TOTAL","2001","Slovenj Gradec",8950
"Sex - TOTAL","2001","Slovenska Bistrica",8606
"Sex - TOTAL","2001","Slovenske Konjice",4561
"Sex - TOTAL","2001","Sodražica",504
"Sex - TOTAL","2001","Solčava",85
"Sex - TOTAL","2001","Središče ob Dravi",NA
"Sex - TOTAL","2001","Starše",345
"Sex - TOTAL","2001","Straža",NA
"Sex - TOTAL","2001","Sveta Ana",148
"Sex - TOTAL","2001","Sveta Trojica v Slov. goricah",NA
"Sex - TOTAL","2001","Sveti Andraž v Slov. goricah",40
"Sex - TOTAL","2001","Sveti Jurij ob Ščavnici",221
"Sex - TOTAL","2001","Sveti Jurij v Slov. goricah",NA
"Sex - TOTAL","2001","Sveti Tomaž",NA
"Sex - TOTAL","2001","Šalovci",80
"Sex - TOTAL","2001","Šempeter - Vrtojba",4835
"Sex - TOTAL","2001","Šenčur",1250
"Sex - TOTAL","2001","Šentilj",2831
"Sex - TOTAL","2001","Šentjernej",1270
"Sex - TOTAL","2001","Šentjur",4252
"Sex - TOTAL","2001","Šentrupert",NA
"Sex - TOTAL","2001","Škocjan",430
"Sex - TOTAL","2001","Škofja Loka",8904
"Sex - TOTAL","2001","Škofljica",1263
"Sex - TOTAL","2001","Šmarje pri Jelšah",1870
"Sex - TOTAL","2001","Šmarješke Toplice",NA
"Sex - TOTAL","2001","Šmartno ob Paki",206
"Sex - TOTAL","2001","Šmartno pri Litiji",NA
"Sex - TOTAL","2001","Šoštanj",2214
"Sex - TOTAL","2001","Štore",1487
"Sex - TOTAL","2001","Tabor",98
"Sex - TOTAL","2001","Tišina",343
"Sex - TOTAL","2001","Tolmin",4300
"Sex - TOTAL","2001","Trbovlje",6669
"Sex - TOTAL","2001","Trebnje",5527
"Sex - TOTAL","2001","Trnovska vas",36
"Sex - TOTAL","2001","Trzin",3402
"Sex - TOTAL","2001","Tržič",3909
"Sex - TOTAL","2001","Turnišče",871
"Sex - TOTAL","2001","Velenje",19973
"Sex - TOTAL","2001","Velika Polana",255
"Sex - TOTAL","2001","Velike Lašče",413
"Sex - TOTAL","2001","Veržej",244
"Sex - TOTAL","2001","Videm",386
"Sex - TOTAL","2001","Vipava",1100
"Sex - TOTAL","2001","Vitanje",346
"Sex - TOTAL","2001","Vodice",499
"Sex - TOTAL","2001","Vojnik",1052
"Sex - TOTAL","2001","Vransko",478
"Sex - TOTAL","2001","Vrhnika",5237
"Sex - TOTAL","2001","Vuzenica",681
"Sex - TOTAL","2001","Zagorje ob Savi",4815
"Sex - TOTAL","2001","Zavrč",238
"Sex - TOTAL","2001","Zreče",3944
"Sex - TOTAL","2001","Žalec",7377
"Sex - TOTAL","2001","Železniki",2542
"Sex - TOTAL","2001","Žetale",64
"Sex - TOTAL","2001","Žiri",1933
"Sex - TOTAL","2001","Žirovnica",474
"Sex - TOTAL","2001","Žužemberk",640
"Sex - TOTAL","2002","Ajdovščina",6648
"Sex - TOTAL","2002","Ankaran/Ancarano",NA
"Sex - TOTAL","2002","Apače",NA
"Sex - TOTAL","2002","Beltinci",1274
"Sex - TOTAL","2002","Benedikt",189
"Sex - TOTAL","2002","Bistrica ob Sotli",302
"Sex - TOTAL","2002","Bled",3824
"Sex - TOTAL","2002","Bloke",299
"Sex - TOTAL","2002","Bohinj",1284
"Sex - TOTAL","2002","Borovnica",481
"Sex - TOTAL","2002","Bovec",1057
"Sex - TOTAL","2002","Braslovče",591
"Sex - TOTAL","2002","Brda",539
"Sex - TOTAL","2002","Brezovica",1565
"Sex - TOTAL","2002","Brežice",6409
"Sex - TOTAL","2002","Cankova",258
"Sex - TOTAL","2002","Celje",28433
"Sex - TOTAL","2002","Cerklje na Gorenjskem",1998
"Sex - TOTAL","2002","Cerknica",3034
"Sex - TOTAL","2002","Cerkno",1912
"Sex - TOTAL","2002","Cerkvenjak",142
"Sex - TOTAL","2002","Cirkulane",NA
"Sex - TOTAL","2002","Črenšovci",581
"Sex - TOTAL","2002","Črna na Koroškem",675
"Sex - TOTAL","2002","Črnomelj",5185
"Sex - TOTAL","2002","Destrnik",207
"Sex - TOTAL","2002","Divača",1338
"Sex - TOTAL","2002","Dobje",132
"Sex - TOTAL","2002","Dobrepolje",760
"Sex - TOTAL","2002","Dobrna",408
"Sex - TOTAL","2002","Dobrova - Polhov Gradec",923
"Sex - TOTAL","2002","Dobrovnik/Dobronak",145
"Sex - TOTAL","2002","Dol pri Ljubljani",886
"Sex - TOTAL","2002","Dolenjske Toplice",648
"Sex - TOTAL","2002","Domžale",10806
"Sex - TOTAL","2002","Dornava",592
"Sex - TOTAL","2002","Dravograd",2452
"Sex - TOTAL","2002","Duplek",538
"Sex - TOTAL","2002","Gorenja vas - Poljane",977
"Sex - TOTAL","2002","Gorišnica",659
"Sex - TOTAL","2002","Gorje",NA
"Sex - TOTAL","2002","Gornja Radgona",4156
"Sex - TOTAL","2002","Gornji Grad",346
"Sex - TOTAL","2002","Gornji Petrovci",188
"Sex - TOTAL","2002","Grad",191
"Sex - TOTAL","2002","Grosuplje",4745
"Sex - TOTAL","2002","Hajdina",585
"Sex - TOTAL","2002","Hoče - Slivnica",2866
"Sex - TOTAL","2002","Hodoš/Hodos",74
"Sex - TOTAL","2002","Horjul",650
"Sex - TOTAL","2002","Hrastnik",3069
"Sex - TOTAL","2002","Hrpelje - Kozina",1266
"Sex - TOTAL","2002","Idrija",5025
"Sex - TOTAL","2002","Ig",1131
"Sex - TOTAL","2002","Ilirska Bistrica",3789
"Sex - TOTAL","2002","Ivančna Gorica",2532
"Sex - TOTAL","2002","Izola/Isola",5336
"Sex - TOTAL","2002","Jesenice",7846
"Sex - TOTAL","2002","Jezersko",130
"Sex - TOTAL","2002","Juršinci",117
"Sex - TOTAL","2002","Kamnik",8045
"Sex - TOTAL","2002","Kanal",1291
"Sex - TOTAL","2002","Kidričevo",4153
"Sex - TOTAL","2002","Kobarid",911
"Sex - TOTAL","2002","Kobilje",99
"Sex - TOTAL","2002","Kočevje",5551
"Sex - TOTAL","2002","Komen",697
"Sex - TOTAL","2002","Komenda",837
"Sex - TOTAL","2002","Koper/Capodistria",20760
"Sex - TOTAL","2002","Kostanjevica na Krki",NA
"Sex - TOTAL","2002","Kostel",105
"Sex - TOTAL","2002","Kozje",635
"Sex - TOTAL","2002","Kranj",25362
"Sex - TOTAL","2002","Kranjska Gora",1366
"Sex - TOTAL","2002","Križevci",730
"Sex - TOTAL","2002","Krško",9709
"Sex - TOTAL","2002","Kungota",694
"Sex - TOTAL","2002","Kuzma",100
"Sex - TOTAL","2002","Laško",4004
"Sex - TOTAL","2002","Lenart",3967
"Sex - TOTAL","2002","Lendava/Lendva",4236
"Sex - TOTAL","2002","Litija",3140
"Sex - TOTAL","2002","Ljubljana",177759
"Sex - TOTAL","2002","Ljubno",471
"Sex - TOTAL","2002","Ljutomer",4394
"Sex - TOTAL","2002","Log - Dragomer",NA
"Sex - TOTAL","2002","Logatec",3542
"Sex - TOTAL","2002","Loška dolina",1764
"Sex - TOTAL","2002","Loški Potok",262
"Sex - TOTAL","2002","Lovrenc na Pohorju",600
"Sex - TOTAL","2002","Luče",200
"Sex - TOTAL","2002","Lukovica",731
"Sex - TOTAL","2002","Majšperk",485
"Sex - TOTAL","2002","Makole",NA
"Sex - TOTAL","2002","Maribor",59592
"Sex - TOTAL","2002","Markovci",460
"Sex - TOTAL","2002","Medvode",3284
"Sex - TOTAL","2002","Mengeš",2615
"Sex - TOTAL","2002","Metlika",3435
"Sex - TOTAL","2002","Mežica",1261
"Sex - TOTAL","2002","Miklavž na Dravskem polju",926
"Sex - TOTAL","2002","Miren - Kostanjevica",1053
"Sex - TOTAL","2002","Mirna",NA
"Sex - TOTAL","2002","Mirna Peč",190
"Sex - TOTAL","2002","Mislinja",600
"Sex - TOTAL","2002","Mokronog - Trebelno",NA
"Sex - TOTAL","2002","Moravče",399
"Sex - TOTAL","2002","Moravske Toplice",1085
"Sex - TOTAL","2002","Mozirje",1501
"Sex - TOTAL","2002","Murska Sobota",15537
"Sex - TOTAL","2002","Muta",1140
"Sex - TOTAL","2002","Naklo",2561
"Sex - TOTAL","2002","Nazarje",2413
"Sex - TOTAL","2002","Nova Gorica",16669
"Sex - TOTAL","2002","Novo mesto",22067
"Sex - TOTAL","2002","Odranci",152
"Sex - TOTAL","2002","Oplotnica",448
"Sex - TOTAL","2002","Ormož",4540
"Sex - TOTAL","2002","Osilnica",97
"Sex - TOTAL","2002","Pesnica",1080
"Sex - TOTAL","2002","Piran/Pirano",6607
"Sex - TOTAL","2002","Pivka",1873
"Sex - TOTAL","2002","Podčetrtek",642
"Sex - TOTAL","2002","Podlehnik",451
"Sex - TOTAL","2002","Podvelka",405
"Sex - TOTAL","2002","Poljčane",NA
"Sex - TOTAL","2002","Polzela",1684
"Sex - TOTAL","2002","Postojna",6972
"Sex - TOTAL","2002","Prebold",969
"Sex - TOTAL","2002","Preddvor",544
"Sex - TOTAL","2002","Prevalje",1758
"Sex - TOTAL","2002","Ptuj",11402
"Sex - TOTAL","2002","Puconci",555
"Sex - TOTAL","2002","Rače - Fram",960
"Sex - TOTAL","2002","Radeče",1221
"Sex - TOTAL","2002","Radenci",1404
"Sex - TOTAL","2002","Radlje ob Dravi",2243
"Sex - TOTAL","2002","Radovljica",6257
"Sex - TOTAL","2002","Ravne na Koroškem",4969
"Sex - TOTAL","2002","Razkrižje",107
"Sex - TOTAL","2002","Rečica ob Savinji",NA
"Sex - TOTAL","2002","Renče - Vogrsko",NA
"Sex - TOTAL","2002","Ribnica",2740
"Sex - TOTAL","2002","Ribnica na Pohorju",111
"Sex - TOTAL","2002","Rogaška Slatina",4717
"Sex - TOTAL","2002","Rogašovci",311
"Sex - TOTAL","2002","Rogatec",847
"Sex - TOTAL","2002","Ruše",2214
"Sex - TOTAL","2002","Selnica ob Dravi",1096
"Sex - TOTAL","2002","Semič",1506
"Sex - TOTAL","2002","Sevnica",5482
"Sex - TOTAL","2002","Sežana",5583
"Sex - TOTAL","2002","Slovenj Gradec",9022
"Sex - TOTAL","2002","Slovenska Bistrica",8525
"Sex - TOTAL","2002","Slovenske Konjice",4639
"Sex - TOTAL","2002","Sodražica",429
"Sex - TOTAL","2002","Solčava",86
"Sex - TOTAL","2002","Središče ob Dravi",NA
"Sex - TOTAL","2002","Starše",353
"Sex - TOTAL","2002","Straža",NA
"Sex - TOTAL","2002","Sveta Ana",149
"Sex - TOTAL","2002","Sveta Trojica v Slov. goricah",NA
"Sex - TOTAL","2002","Sveti Andraž v Slov. goricah",42
"Sex - TOTAL","2002","Sveti Jurij ob Ščavnici",224
