"nuts","sex","year","measure","value","level"
"SE","women",2013,"average_salary",26227,"nuts0"
"SE","women",2014,"average_salary",27027,"nuts0"
"SE","women",2015,"average_salary",27834,"nuts0"
"SE","women",2016,"average_salary",28881,"nuts0"
"SE","women",2017,"average_salary",29707,"nuts0"
"SE","women",2018,"average_salary",30533,"nuts0"
"SE","women",2019,"average_salary",31418,"nuts0"
"SE","women",2020,"average_salary",32236,"nuts0"
"SE","women",2021,"average_salary",33107,"nuts0"
"SE","women",2022,"average_salary",33815,"nuts0"
"SE","women",2023,"average_salary",34963,"nuts0"
"SE","women",2024,"average_salary",36233,"nuts0"
"SE","men",2007,"number_empl",153050,"nuts0"
"SE","men",2008,"number_empl",151190,"nuts0"
"SE","men",2009,"number_empl",152120,"nuts0"
"SE","men",2010,"number_empl",152050,"nuts0"
"SE","men",2011,"number_empl",153190,"nuts0"
"SE","men",2012,"number_empl",149250,"nuts0"
"SE","men",2013,"number_empl",150840,"nuts0"
"SE","men",2014,"number_empl",159870,"nuts0"
"SE","men",2015,"number_empl",168540,"nuts0"
"SE","men",2016,"number_empl",181190,"nuts0"
"SE","men",2017,"number_empl",185040,"nuts0"
"SE","men",2018,"number_empl",187380,"nuts0"
"SE","men",2019,"number_empl",189840,"nuts0"
"SE","men",2020,"number_empl",191970,"nuts0"
"SE","men",2021,"number_empl",196040,"nuts0"
"SE","men",2022,"number_empl",199930,"nuts0"
"SE","men",2023,"number_empl",205500,"nuts0"
"SE","men",2024,"number_empl",205690,"nuts0"
"SE","total",2007,"number_empl",756540,"nuts0"
"SE","total",2008,"number_empl",750220,"nuts0"
"SE","total",2009,"number_empl",741920,"nuts0"
"SE","total",2010,"number_empl",745420,"nuts0"
"SE","total",2011,"number_empl",749990,"nuts0"
"SE","total",2012,"number_empl",738920,"nuts0"
"SE","total",2013,"number_empl",740310,"nuts0"
"SE","total",2014,"number_empl",768330,"nuts0"
"SE","total",2015,"number_empl",785790,"nuts0"
"SE","total",2016,"number_empl",815390,"nuts0"
"SE","total",2017,"number_empl",825630,"nuts0"
"SE","total",2018,"number_empl",828590,"nuts0"
"SE","total",2019,"number_empl",827510,"nuts0"
"SE","total",2020,"number_empl",821060,"nuts0"
"SE","total",2021,"number_empl",824450,"nuts0"
"SE","total",2022,"number_empl",838470,"nuts0"
"SE","total",2023,"number_empl",853630,"nuts0"
"SE","total",2024,"number_empl",846930,"nuts0"
"SE","women",2007,"number_empl",603520,"nuts0"
"SE","women",2008,"number_empl",599120,"nuts0"
"SE","women",2009,"number_empl",590570,"nuts0"
"SE","women",2010,"number_empl",592870,"nuts0"
"SE","women",2011,"number_empl",597400,"nuts0"
"SE","women",2012,"number_empl",589570,"nuts0"
"SE","women",2013,"number_empl",589720,"nuts0"
"SE","women",2014,"number_empl",607640,"nuts0"
"SE","women",2015,"number_empl",618060,"nuts0"
"SE","women",2016,"number_empl",634920,"nuts0"
"SE","women",2017,"number_empl",639980,"nuts0"
"SE","women",2018,"number_empl",640970,"nuts0"
"SE","women",2019,"number_empl",636710,"nuts0"
"SE","women",2020,"number_empl",628660,"nuts0"
"SE","women",2021,"number_empl",627990,"nuts0"
"SE","women",2022,"number_empl",638030,"nuts0"
"SE","women",2023,"number_empl",648940,"nuts0"
"SE","women",2024,"number_empl",641160,"nuts0"
"SE1","men",2007,"average_salary",23907,"nuts1"
"SE1","men",2008,"average_salary",25141,"nuts1"
"SE1","men",2009,"average_salary",25628,"nuts1"
"SE1","men",2010,"average_salary",26048,"nuts1"
"SE1","men",2011,"average_salary",26648,"nuts1"
"SE1","men",2012,"average_salary",27283,"nuts1"
"SE1","men",2013,"average_salary",28136,"nuts1"
"SE1","men",2014,"average_salary",28974,"nuts1"
"SE1","men",2015,"average_salary",29591,"nuts1"
"SE1","men",2016,"average_salary",30452,"nuts1"
"SE1","men",2017,"average_salary",31228,"nuts1"
"SE1","men",2018,"average_salary",32037,"nuts1"
"SE1","men",2019,"average_salary",32869,"nuts1"
"SE1","men",2020,"average_salary",33503,"nuts1"
"SE1","men",2021,"average_salary",34340,"nuts1"
"SE1","men",2022,"average_salary",35158,"nuts1"
"SE1","men",2023,"average_salary",36264,"nuts1"
"SE1","men",2024,"average_salary",37465,"nuts1"
"SE1","total",2007,"average_salary",22480,"nuts1"
"SE1","total",2008,"average_salary",23852,"nuts1"
"SE1","total",2009,"average_salary",24599,"nuts1"
"SE1","total",2010,"average_salary",25095,"nuts1"
"SE1","total",2011,"average_salary",25624,"nuts1"
"SE1","total",2012,"average_salary",26183,"nuts1"
"SE1","total",2013,"average_salary",27100,"nuts1"
"SE1","total",2014,"average_salary",27964,"nuts1"
"SE1","total",2015,"average_salary",28739,"nuts1"
"SE1","total",2016,"average_salary",29812,"nuts1"
"SE1","total",2017,"average_salary",30652,"nuts1"
"SE1","total",2018,"average_salary",31471,"nuts1"
"SE1","total",2019,"average_salary",32381,"nuts1"
"SE1","total",2020,"average_salary",33139,"nuts1"
"SE1","total",2021,"average_salary",34024,"nuts1"
"SE1","total",2022,"average_salary",34875,"nuts1"
"SE1","total",2023,"average_salary",35985,"nuts1"
"SE1","total",2024,"average_salary",37272,"nuts1"
"SE1","women",2007,"average_salary",22082,"nuts1"
"SE1","women",2008,"average_salary",23487,"nuts1"
"SE1","women",2009,"average_salary",24319,"nuts1"
"SE1","women",2010,"average_salary",24818,"nuts1"
"SE1","women",2011,"average_salary",25351,"nuts1"
"SE1","women",2012,"average_salary",25891,"nuts1"
"SE1","women",2013,"average_salary",26832,"nuts1"
"SE1","women",2014,"average_salary",27692,"nuts1"
"SE1","women",2015,"average_salary",28505,"nuts1"
"SE1","women",2016,"average_salary",29622,"nuts1"
"SE1","women",2017,"average_salary",30446,"nuts1"
"SE1","women",2018,"average_salary",31320,"nuts1"
"SE1","women",2019,"average_salary",32226,"nuts1"
"SE1","women",2020,"average_salary",33023,"nuts1"
"SE1","women",2021,"average_salary",33955,"nuts1"
"SE1","women",2022,"average_salary",34759,"nuts1"
"SE1","women",2023,"average_salary",35877,"nuts1"
"SE1","women",2024,"average_salary",37196,"nuts1"
"SE2","men",2007,"average_salary",23701,"nuts1"
"SE2","men",2008,"average_salary",24854,"nuts1"
"SE2","men",2009,"average_salary",25617,"nuts1"
"SE2","men",2010,"average_salary",25912,"nuts1"
"SE2","men",2011,"average_salary",26439,"nuts1"
"SE2","men",2012,"average_salary",27079,"nuts1"
"SE2","men",2013,"average_salary",27883,"nuts1"
"SE2","men",2014,"average_salary",28604,"nuts1"
"SE2","men",2015,"average_salary",29188,"nuts1"
"SE2","men",2016,"average_salary",29917,"nuts1"
"SE2","men",2017,"average_salary",30757,"nuts1"
"SE2","men",2018,"average_salary",31486,"nuts1"
"SE2","men",2019,"average_salary",32284,"nuts1"
"SE2","men",2020,"average_salary",33016,"nuts1"
"SE2","men",2021,"average_salary",33758,"nuts1"
"SE2","men",2022,"average_salary",34495,"nuts1"
"SE2","men",2023,"average_salary",35664,"nuts1"
"SE2","men",2024,"average_salary",36927,"nuts1"
"SE2","total",2007,"average_salary",21808,"nuts1"
"SE2","total",2008,"average_salary",23154,"nuts1"
"SE2","total",2009,"average_salary",24119,"nuts1"
"SE2","total",2010,"average_salary",24537,"nuts1"
"SE2","total",2011,"average_salary",25072,"nuts1"
"SE2","total",2012,"average_salary",25580,"nuts1"
"SE2","total",2013,"average_salary",26488,"nuts1"
"SE2","total",2014,"average_salary",27282,"nuts1"
"SE2","total",2015,"average_salary",28063,"nuts1"
"SE2","total",2016,"average_salary",29034,"nuts1"
"SE2","total",2017,"average_salary",29918,"nuts1"
"SE2","total",2018,"average_salary",30729,"nuts1"
"SE2","total",2019,"average_salary",31633,"nuts1"
"SE2","total",2020,"average_salary",32468,"nuts1"
"SE2","total",2021,"average_salary",33277,"nuts1"
"SE2","total",2022,"average_salary",33996,"nuts1"
"SE2","total",2023,"average_salary",35171,"nuts1"
"SE2","total",2024,"average_salary",36458,"nuts1"
"SE2","women",2007,"average_salary",21351,"nuts1"
"SE2","women",2008,"average_salary",22740,"nuts1"
"SE2","women",2009,"average_salary",23758,"nuts1"
"SE2","women",2010,"average_salary",24174,"nuts1"
"SE2","women",2011,"average_salary",24735,"nuts1"
"SE2","women",2012,"average_salary",25226,"nuts1"
"SE2","women",2013,"average_salary",26143,"nuts1"
"SE2","women",2014,"average_salary",26933,"nuts1"
"SE2","women",2015,"average_salary",27758,"nuts1"
"SE2","women",2016,"average_salary",28797,"nuts1"
"SE2","women",2017,"average_salary",29676,"nuts1"
"SE2","women",2018,"average_salary",30528,"nuts1"
"SE2","women",2019,"average_salary",31438,"nuts1"
"SE2","women",2020,"average_salary",32293,"nuts1"
"SE2","women",2021,"average_salary",33150,"nuts1"
"SE2","women",2022,"average_salary",33843,"nuts1"
"SE2","women",2023,"average_salary",35024,"nuts1"
"SE2","women",2024,"average_salary",36309,"nuts1"
"SE3","men",2007,"average_salary",22824,"nuts1"
"SE3","men",2008,"average_salary",24084,"nuts1"
"SE3","men",2009,"average_salary",24725,"nuts1"
"SE3","men",2010,"average_salary",25055,"nuts1"
"SE3","men",2011,"average_salary",25510,"nuts1"
"SE3","men",2012,"average_salary",26075,"nuts1"
"SE3","men",2013,"average_salary",26832,"nuts1"
"SE3","men",2014,"average_salary",27514,"nuts1"
"SE3","men",2015,"average_salary",28014,"nuts1"
"SE3","men",2016,"average_salary",28593,"nuts1"
"SE3","men",2017,"average_salary",29184,"nuts1"
"SE3","men",2018,"average_salary",29744,"nuts1"
"SE3","men",2019,"average_salary",30339,"nuts1"
"SE3","men",2020,"average_salary",30941,"nuts1"
"SE3","men",2021,"average_salary",31599,"nuts1"
"SE3","men",2022,"average_salary",32191,"nuts1"
"SE3","men",2023,"average_salary",33223,"nuts1"
"SE3","men",2024,"average_salary",34357,"nuts1"
"SE3","total",2007,"average_salary",21374,"nuts1"
"SE3","total",2008,"average_salary",22802,"nuts1"
"SE3","total",2009,"average_salary",23614,"nuts1"
"SE3","total",2010,"average_salary",24055,"nuts1"
"SE3","total",2011,"average_salary",24526,"nuts1"
"SE3","total",2012,"average_salary",25010,"nuts1"
"SE3","total",2013,"average_salary",25813,"nuts1"
"SE3","total",2014,"average_salary",26536,"nuts1"
"SE3","total",2015,"average_salary",27248,"nuts1"
"SE3","total",2016,"average_salary",28126,"nuts1"
"SE3","total",2017,"average_salary",28802,"nuts1"
"SE3","total",2018,"average_salary",29465,"nuts1"
"SE3","total",2019,"average_salary",30190,"nuts1"
"SE3","total",2020,"average_salary",30910,"nuts1"
"SE3","total",2021,"average_salary",31680,"nuts1"
"SE3","total",2022,"average_salary",32290,"nuts1"
"SE3","total",2023,"average_salary",33367,"nuts1"
"SE3","total",2024,"average_salary",34503,"nuts1"
"SE3","women",2007,"average_salary",21008,"nuts1"
"SE3","women",2008,"average_salary",22476,"nuts1"
"SE3","women",2009,"average_salary",23337,"nuts1"
"SE3","women",2010,"average_salary",23799,"nuts1"
"SE3","women",2011,"average_salary",24275,"nuts1"
"SE3","women",2012,"average_salary",24741,"nuts1"
"SE3","women",2013,"average_salary",25556,"nuts1"
"SE3","women",2014,"average_salary",26282,"nuts1"
"SE3","women",2015,"average_salary",27036,"nuts1"
"SE3","women",2016,"average_salary",27991,"nuts1"
"SE3","women",2017,"average_salary",28692,"nuts1"
"SE3","women",2018,"average_salary",29367,"nuts1"
"SE3","women",2019,"average_salary",30147,"nuts1"
"SE3","women",2020,"average_salary",30903,"nuts1"
"SE3","women",2021,"average_salary",31705,"nuts1"
"SE3","women",2022,"average_salary",32321,"nuts1"
"SE3","women",2023,"average_salary",33417,"nuts1"
"SE3","women",2024,"average_salary",34565,"nuts1"
"SE1","men",2007,"number_empl",50800,"nuts1"
"SE1","men",2008,"number_empl",49840,"nuts1"
"SE1","men",2009,"number_empl",50700,"nuts1"
"SE1","men",2010,"number_empl",50060,"nuts1"
"SE1","men",2011,"number_empl",50100,"nuts1"
"SE1","men",2012,"number_empl",48930,"nuts1"
"SE1","men",2013,"number_empl",49430,"nuts1"
"SE1","men",2014,"number_empl",52200,"nuts1"
"SE1","men",2015,"number_empl",54960,"nuts1"
"SE1","men",2016,"number_empl",58380,"nuts1"
"SE1","men",2017,"number_empl",59790,"nuts1"
"SE1","men",2018,"number_empl",60770,"nuts1"
"SE1","men",2019,"number_empl",61600,"nuts1"
"SE1","men",2020,"number_empl",62200,"nuts1"
"SE1","men",2021,"number_empl",63050,"nuts1"
"SE1","men",2022,"number_empl",63600,"nuts1"
"SE1","men",2023,"number_empl",66080,"nuts1"
"SE1","men",2024,"number_empl",66270,"nuts1"
"SE1","total",2007,"number_empl",239420,"nuts1"
"SE1","total",2008,"number_empl",235610,"nuts1"
"SE1","total",2009,"number_empl",236040,"nuts1"
"SE1","total",2010,"number_empl",234610,"nuts1"
"SE1","total",2011,"number_empl",235440,"nuts1"
"SE1","total",2012,"number_empl",231930,"nuts1"
"SE1","total",2013,"number_empl",231520,"nuts1"
"SE1","total",2014,"number_empl",240670,"nuts1"
"SE1","total",2015,"number_empl",247140,"nuts1"
"SE1","total",2016,"number_empl",255310,"nuts1"
"SE1","total",2017,"number_empl",259900,"nuts1"
"SE1","total",2018,"number_empl",262970,"nuts1"
"SE1","total",2019,"number_empl",263380,"nuts1"
"SE1","total",2020,"number_empl",261420,"nuts1"
"SE1","total",2021,"number_empl",261810,"nuts1"
"SE1","total",2022,"number_empl",262870,"nuts1"
"SE1","total",2023,"number_empl",270760,"nuts1"
"SE1","total",2024,"number_empl",269500,"nuts1"
"SE1","women",2007,"number_empl",188710,"nuts1"
"SE1","women",2008,"number_empl",185920,"nuts1"
"SE1","women",2009,"number_empl",185470,"nuts1"
"SE1","women",2010,"number_empl",184500,"nuts1"
"SE1","women",2011,"number_empl",185350,"nuts1"
"SE1","women",2012,"number_empl",182750,"nuts1"
"SE1","women",2013,"number_empl",182150,"nuts1"
"SE1","women",2014,"number_empl",188420,"nuts1"
"SE1","women",2015,"number_empl",192180,"nuts1"
"SE1","women",2016,"number_empl",197360,"nuts1"
"SE1","women",2017,"number_empl",200080,"nuts1"
"SE1","women",2018,"number_empl",202110,"nuts1"
"SE1","women",2019,"number_empl",201900,"nuts1"
"SE1","women",2020,"number_empl",199270,"nuts1"
"SE1","women",2021,"number_empl",198800,"nuts1"
"SE1","women",2022,"number_empl",199190,"nuts1"
"SE1","women",2023,"number_empl",204990,"nuts1"
"SE1","women",2024,"number_empl",203150,"nuts1"
"SE2","men",2007,"number_empl",68270,"nuts1"
"SE2","men",2008,"number_empl",67840,"nuts1"
"SE2","men",2009,"number_empl",68370,"nuts1"
"SE2","men",2010,"number_empl",69070,"nuts1"
"SE2","men",2011,"number_empl",69720,"nuts1"
"SE2","men",2012,"number_empl",68130,"nuts1"
"SE2","men",2013,"number_empl",68840,"nuts1"
"SE2","men",2014,"number_empl",73320,"nuts1"
"SE2","men",2015,"number_empl",77510,"nuts1"
"SE2","men",2016,"number_empl",83730,"nuts1"
"SE2","men",2017,"number_empl",85380,"nuts1"
"SE2","men",2018,"number_empl",86630,"nuts1"
"SE2","men",2019,"number_empl",87920,"nuts1"
"SE2","men",2020,"number_empl",89070,"nuts1"
"SE2","men",2021,"number_empl",91430,"nuts1"
"SE2","men",2022,"number_empl",93930,"nuts1"
"SE2","men",2023,"number_empl",96040,"nuts1"
"SE2","men",2024,"number_empl",95900,"nuts1"
"SE2","total",2007,"number_empl",349890,"nuts1"
"SE2","total",2008,"number_empl",348580,"nuts1"
"SE2","total",2009,"number_empl",343570,"nuts1"
"SE2","total",2010,"number_empl",347880,"nuts1"
"SE2","total",2011,"number_empl",350470,"nuts1"
"SE2","total",2012,"number_empl",345330,"nuts1"
"SE2","total",2013,"number_empl",347210,"nuts1"
"SE2","total",2014,"number_empl",360850,"nuts1"
"SE2","total",2015,"number_empl",369500,"nuts1"
"SE2","total",2016,"number_empl",385260,"nuts1"
"SE2","total",2017,"number_empl",389480,"nuts1"
"SE2","total",2018,"number_empl",390410,"nuts1"
"SE2","total",2019,"number_empl",390340,"nuts1"
"SE2","total",2020,"number_empl",388240,"nuts1"
"SE2","total",2021,"number_empl",391250,"nuts1"
"SE2","total",2022,"number_empl",401320,"nuts1"
"SE2","total",2023,"number_empl",406170,"nuts1"
"SE2","total",2024,"number_empl",402400,"nuts1"
"SE2","women",2007,"number_empl",281430,"nuts1"
"SE2","women",2008,"number_empl",280770,"nuts1"
"SE2","women",2009,"number_empl",275700,"nuts1"
"SE2","women",2010,"number_empl",278460,"nuts1"
"SE2","women",2011,"number_empl",281170,"nuts1"
"SE2","women",2012,"number_empl",277660,"nuts1"
"SE2","women",2013,"number_empl",277930,"nuts1"
"SE2","women",2014,"number_empl",287020,"nuts1"
"SE2","women",2015,"number_empl",292260,"nuts1"
"SE2","women",2016,"number_empl",301530,"nuts1"
"SE2","women",2017,"number_empl",303530,"nuts1"
"SE2","women",2018,"number_empl",303640,"nuts1"
"SE2","women",2019,"number_empl",301660,"nuts1"
"SE2","women",2020,"number_empl",298970,"nuts1"
"SE2","women",2021,"number_empl",299540,"nuts1"
"SE2","women",2022,"number_empl",307470,"nuts1"
"SE2","women",2023,"number_empl",310430,"nuts1"
"SE2","women",2024,"number_empl",306580,"nuts1"
"SE3","men",2007,"number_empl",33980,"nuts1"
"SE3","men",2008,"number_empl",33510,"nuts1"
"SE3","men",2009,"number_empl",33050,"nuts1"
"SE3","men",2010,"number_empl",32920,"nuts1"
"SE3","men",2011,"number_empl",33370,"nuts1"
"SE3","men",2012,"number_empl",32190,"nuts1"
"SE3","men",2013,"number_empl",32570,"nuts1"
"SE3","men",2014,"number_empl",34350,"nuts1"
"SE3","men",2015,"number_empl",36070,"nuts1"
"SE3","men",2016,"number_empl",39080,"nuts1"
"SE3","men",2017,"number_empl",39870,"nuts1"
"SE3","men",2018,"number_empl",39980,"nuts1"
"SE3","men",2019,"number_empl",40320,"nuts1"
"SE3","men",2020,"number_empl",40700,"nuts1"
"SE3","men",2021,"number_empl",41560,"nuts1"
"SE3","men",2022,"number_empl",42400,"nuts1"
"SE3","men",2023,"number_empl",43380,"nuts1"
"SE3","men",2024,"number_empl",43520,"nuts1"
"SE3","total",2007,"number_empl",167230,"nuts1"
"SE3","total",2008,"number_empl",166030,"nuts1"
"SE3","total",2009,"number_empl",162310,"nuts1"
"SE3","total",2010,"number_empl",162930,"nuts1"
"SE3","total",2011,"number_empl",164080,"nuts1"
"SE3","total",2012,"number_empl",161660,"nuts1"
"SE3","total",2013,"number_empl",161580,"nuts1"
"SE3","total",2014,"number_empl",166810,"nuts1"
"SE3","total",2015,"number_empl",169150,"nuts1"
"SE3","total",2016,"number_empl",174820,"nuts1"
"SE3","total",2017,"number_empl",176250,"nuts1"
"SE3","total",2018,"number_empl",175210,"nuts1"
"SE3","total",2019,"number_empl",173790,"nuts1"
"SE3","total",2020,"number_empl",171400,"nuts1"
"SE3","total",2021,"number_empl",171390,"nuts1"
"SE3","total",2022,"number_empl",174280,"nuts1"
"SE3","total",2023,"number_empl",176700,"nuts1"
"SE3","total",2024,"number_empl",175030,"nuts1"
"SE3","women",2007,"number_empl",133380,"nuts1"
"SE3","women",2008,"number_empl",132430,"nuts1"
"SE3","women",2009,"number_empl",129400,"nuts1"
"SE3","women",2010,"number_empl",129910,"nuts1"
"SE3","women",2011,"number_empl",130880,"nuts1"
"SE3","women",2012,"number_empl",129160,"nuts1"
"SE3","women",2013,"number_empl",129640,"nuts1"
"SE3","women",2014,"number_empl",132200,"nuts1"
"SE3","women",2015,"number_empl",133620,"nuts1"
"SE3","women",2016,"number_empl",136030,"nuts1"
"SE3","women",2017,"number_empl",136370,"nuts1"
"SE3","women",2018,"number_empl",135220,"nuts1"
"SE3","women",2019,"number_empl",133150,"nuts1"
"SE3","women",2020,"number_empl",130420,"nuts1"
"SE3","women",2021,"number_empl",129650,"nuts1"
"SE3","women",2022,"number_empl",131370,"nuts1"
"SE3","women",2023,"number_empl",133520,"nuts1"
"SE3","women",2024,"number_empl",131430,"nuts1"
"SE11","men",2007,"average_salary",24189,"nuts2"
"SE11","men",2008,"average_salary",25493,"nuts2"
"SE11","men",2009,"average_salary",25805,"nuts2"
"SE11","men",2010,"average_salary",26266,"nuts2"
"SE11","men",2011,"average_salary",26934,"nuts2"
"SE11","men",2012,"average_salary",27575,"nuts2"
"SE11","men",2013,"average_salary",28509,"nuts2"
"SE11","men",2014,"average_salary",29462,"nuts2"
"SE11","men",2015,"average_salary",30218,"nuts2"
"SE11","men",2016,"average_salary",31311,"nuts2"
"SE11","men",2017,"average_salary",32215,"nuts2"
"SE11","men",2018,"average_salary",33176,"nuts2"
"SE11","men",2019,"average_salary",34162,"nuts2"
"SE11","men",2020,"average_salary",34802,"nuts2"
"SE11","men",2021,"average_salary",35784,"nuts2"
"SE11","men",2022,"average_salary",36852,"nuts2"
"SE11","men",2023,"average_salary",37982,"nuts2"
"SE11","men",2024,"average_salary",39103,"nuts2"
"SE11","total",2007,"average_salary",23160,"nuts2"
"SE11","total",2008,"average_salary",24537,"nuts2"
"SE11","total",2009,"average_salary",25123,"nuts2"
"SE11","total",2010,"average_salary",25615,"nuts2"
"SE11","total",2011,"average_salary",26172,"nuts2"
"SE11","total",2012,"average_salary",26797,"nuts2"
"SE11","total",2013,"average_salary",27811,"nuts2"
"SE11","total",2014,"average_salary",28814,"nuts2"
"SE11","total",2015,"average_salary",29673,"nuts2"
"SE11","total",2016,"average_salary",30905,"nuts2"
"SE11","total",2017,"average_salary",31884,"nuts2"
"SE11","total",2018,"average_salary",32769,"nuts2"
"SE11","total",2019,"average_salary",33800,"nuts2"
"SE11","total",2020,"average_salary",34561,"nuts2"
"SE11","total",2021,"average_salary",35612,"nuts2"
"SE11","total",2022,"average_salary",36676,"nuts2"
"SE11","total",2023,"average_salary",37766,"nuts2"
"SE11","total",2024,"average_salary",39002,"nuts2"
"SE11","women",2007,"average_salary",22842,"nuts2"
"SE11","women",2008,"average_salary",24228,"nuts2"
"SE11","women",2009,"average_salary",24914,"nuts2"
"SE11","women",2010,"average_salary",25411,"nuts2"
"SE11","women",2011,"average_salary",25948,"nuts2"
"SE11","women",2012,"average_salary",26572,"nuts2"
"SE11","women",2013,"average_salary",27625,"nuts2"
"SE11","women",2014,"average_salary",28643,"nuts2"
"SE11","women",2015,"average_salary",29529,"nuts2"
"SE11","women",2016,"average_salary",30791,"nuts2"
"SE11","women",2017,"average_salary",31751,"nuts2"
"SE11","women",2018,"average_salary",32677,"nuts2"
"SE11","women",2019,"average_salary",33662,"nuts2"
"SE11","women",2020,"average_salary",34495,"nuts2"
"SE11","women",2021,"average_salary",35557,"nuts2"
"SE11","women",2022,"average_salary",36571,"nuts2"
"SE11","women",2023,"average_salary",37688,"nuts2"
"SE11","women",2024,"average_salary",38963,"nuts2"
"SE12","men",2007,"average_salary",23607,"nuts2"
"SE12","men",2008,"average_salary",24768,"nuts2"
"SE12","men",2009,"average_salary",25435,"nuts2"
"SE12","men",2010,"average_salary",25811,"nuts2"
"SE12","men",2011,"average_salary",26341,"nuts2"
"SE12","men",2012,"average_salary",26969,"nuts2"
"SE12","men",2013,"average_salary",27733,"nuts2"
"SE12","men",2014,"average_salary",28464,"nuts2"
"SE12","men",2015,"average_salary",28953,"nuts2"
"SE12","men",2016,"average_salary",29615,"nuts2"
"SE12","men",2017,"average_salary",30276,"nuts2"
"SE12","men",2018,"average_salary",30939,"nuts2"
"SE12","men",2019,"average_salary",31649,"nuts2"
"SE12","men",2020,"average_salary",32307,"nuts2"
"SE12","men",2021,"average_salary",33037,"nuts2"
"SE12","men",2022,"average_salary",33706,"nuts2"
"SE12","men",2023,"average_salary",34773,"nuts2"
"SE12","men",2024,"average_salary",36016,"nuts2"
"SE12","total",2007,"average_salary",21865,"nuts2"
"SE12","total",2008,"average_salary",23246,"nuts2"
"SE12","total",2009,"average_salary",24116,"nuts2"
"SE12","total",2010,"average_salary",24627,"nuts2"
"SE12","total",2011,"average_salary",25129,"nuts2"
"SE12","total",2012,"average_salary",25633,"nuts2"
"SE12","total",2013,"average_salary",26472,"nuts2"
"SE12","total",2014,"average_salary",27225,"nuts2"
"SE12","total",2015,"average_salary",27930,"nuts2"
"SE12","total",2016,"average_salary",28878,"nuts2"
"SE12","total",2017,"average_salary",29610,"nuts2"
"SE12","total",2018,"average_salary",30361,"nuts2"
"SE12","total",2019,"average_salary",31172,"nuts2"
"SE12","total",2020,"average_salary",31945,"nuts2"
"SE12","total",2021,"average_salary",32713,"nuts2"
"SE12","total",2022,"average_salary",33449,"nuts2"
"SE12","total",2023,"average_salary",34544,"nuts2"
"SE12","total",2024,"average_salary",35849,"nuts2"
"SE12","women",2007,"average_salary",21429,"nuts2"
"SE12","women",2008,"average_salary",22865,"nuts2"
"SE12","women",2009,"average_salary",23793,"nuts2"
"SE12","women",2010,"average_salary",24310,"nuts2"
"SE12","women",2011,"average_salary",24837,"nuts2"
"SE12","women",2012,"average_salary",25308,"nuts2"
"SE12","women",2013,"average_salary",26168,"nuts2"
"SE12","women",2014,"average_salary",26906,"nuts2"
"SE12","women",2015,"average_salary",27660,"nuts2"
"SE12","women",2016,"average_salary",28669,"nuts2"
"SE12","women",2017,"average_salary",29383,"nuts2"
"SE12","women",2018,"average_salary",30206,"nuts2"
"SE12","women",2019,"average_salary",31047,"nuts2"
"SE12","women",2020,"average_salary",31823,"nuts2"
"SE12","women",2021,"average_salary",32671,"nuts2"
"SE12","women",2022,"average_salary",33353,"nuts2"
"SE12","women",2023,"average_salary",34451,"nuts2"
"SE12","women",2024,"average_salary",35782,"nuts2"
"SE21","men",2007,"average_salary",24517,"nuts2"
